Time (ps),RMSD (nm)
8790.0, 0.3967459
8800.0, 0.3994211
8810.0, 0.4054682
8820.0, 0.3974322
8830.0, 0.3782298
8840.0, 0.3981459
8850.0, 0.3578493
8860.0, 0.3421218
8870.0, 0.3573216
8880.0, 0.3729978
8890.0, 0.372495
8900.0, 0.3491772
8910.0, 0.3207566
8920.0, 0.3340049
8930.0, 0.3614515
8940.0, 0.3770548
8950.0, 0.3807983
8960.0, 0.340172
8970.0, 0.3448654
8980.0, 0.3526957
8990.0, 0.3968935
9000.0, 0.3599918
9010.0, 0.3523452
9020.0, 0.3582688
9030.0, 0.3833255
9040.0, 0.3618549
9050.0, 0.3665577
9060.0, 0.3742021
9070.0, 0.3671867
9080.0, 0.3466678
9090.0, 0.370559
9100.0, 0.4156626
9110.0, 0.4323483
9120.0, 0.4010007
9130.0, 0.394399
9140.0, 0.4222386
9150.0, 0.4246447
9160.0, 0.4194435
9170.0, 0.3912948
9180.0, 0.3919966
9190.0, 0.391196
9200.0, 0.3643366
9210.0, 0.3636127
9220.0, 0.3779251
9230.0, 0.4029555
9240.0, 0.4143589
9250.0, 0.42011
9260.0, 0.4650215
9270.0, 0.4685834
9280.0, 0.4800052
9290.0, 0.4590183
9300.0, 0.460631
9310.0, 0.4896323
9320.0, 0.4562928
9330.0, 0.4393145
9340.0, 0.4378302
9350.0, 0.4412859
9360.0, 0.4212747
9370.0, 0.409311
9380.0, 0.3883833
9390.0, 0.3859924
9400.0, 0.3705414
9410.0, 0.3816097
9420.0, 0.401475
9430.0, 0.3744844
9440.0, 0.3593162
9450.0, 0.350915
9460.0, 0.3595463
9470.0, 0.3497529
9480.0, 0.3476803
9490.0, 0.3087535
9500.0, 0.341241
9510.0, 0.3303609
9520.0, 0.3333249
9530.0, 0.31547
9540.0, 0.3264717
9550.0, 0.3371349
9560.0, 0.3279591
9570.0, 0.3374057
9580.0, 0.3320428
9590.0, 0.3608048
9600.0, 0.3505056
9610.0, 0.3611479
9620.0, 0.3831883
9630.0, 0.3814228
9640.0, 0.3391784
9650.0, 0.3319869
9660.0, 0.2972041
9670.0, 0.3197641
9680.0, 0.34898
9690.0, 0.3841701
9700.0, 0.3878438
9710.0, 0.3830072
9720.0, 0.38811
9730.0, 0.4280767
9740.0, 0.4052836
9750.0, 0.3800524
9760.0, 0.4067761
9770.0, 0.4094586
9780.0, 0.414694
9790.0, 0.3788024
9800.0, 0.374936
9810.0, 0.3963182
9820.0, 0.4319532
9830.0, 0.3889431
9840.0, 0.3563285
9850.0, 0.3481813
9860.0, 0.3601472
9870.0, 0.3774955
9880.0, 0.3492146
9890.0, 0.3317
9900.0, 0.3188609
9910.0, 0.2941806
9920.0, 0.3308258
9930.0, 0.3228154
9940.0, 0.3057826
9950.0, 0.3104478
9960.0, 0.298264
9970.0, 0.3114157
9980.0, 0.3416322
9990.0, 0.3896871
10000.0, 0.4080796
10010.0, 0.3665698
10020.0, 0.3659949
10030.0, 0.3672962
10040.0, 0.4174998
10050.0, 0.4069974
10060.0, 0.4276567
10070.0, 0.3812762
10080.0, 0.3917811
10090.0, 0.4047502
10100.0, 0.4185434
10110.0, 0.4152932
10120.0, 0.4182826
10130.0, 0.410007
10140.0, 0.4102606
10150.0, 0.4197049
10160.0, 0.4216156
10170.0, 0.3909394
10180.0, 0.4169516
10190.0, 0.3876353
10200.0, 0.3877264
10210.0, 0.4020833
10220.0, 0.3772571
10230.0, 0.3668239
10240.0, 0.3743553
10250.0, 0.386917
10260.0, 0.3714627
10270.0, 0.3694387
10280.0, 0.3522647
10290.0, 0.3599026
10300.0, 0.3535319
10310.0, 0.3526367
10320.0, 0.3645621
10330.0, 0.3727371
10340.0, 0.3676416
10350.0, 0.3669011
10360.0, 0.3856955
10370.0, 0.3284942
10380.0, 0.3216587
10390.0, 0.3202186
10400.0, 0.3465422
10410.0, 0.3553304
10420.0, 0.3466387
10430.0, 0.3375944
10440.0, 0.3351481
10450.0, 0.3463798
10460.0, 0.3528419
10470.0, 0.3616326
10480.0, 0.3479517
10490.0, 0.3541563
10500.0, 0.3423848
10510.0, 0.3647878
10520.0, 0.3540606
10530.0, 0.3550812
10540.0, 0.3736982
10550.0, 0.3837737
10560.0, 0.3456653
10570.0, 0.3315508
10580.0, 0.345791
10590.0, 0.3850654
10600.0, 0.4036781
10610.0, 0.4171737
10620.0, 0.3960557
10630.0, 0.3908554
10640.0, 0.3814828
10650.0, 0.3381746
10660.0, 0.3209363
10670.0, 0.3120524
10680.0, 0.3486617
10690.0, 0.3356439
10700.0, 0.3097981
10710.0, 0.3063663
10720.0, 0.36298
10730.0, 0.3711004
10740.0, 0.3854468
10750.0, 0.4166436
10760.0, 0.3933795
10770.0, 0.3875025
10780.0, 0.3875834
10790.0, 0.3809491
10800.0, 0.3628107
10810.0, 0.3677796
10820.0, 0.3512055
10830.0, 0.3876531
10840.0, 0.3648113
10850.0, 0.3230894
10860.0, 0.3021612
10870.0, 0.3075506
10880.0, 0.2886993
10890.0, 0.321433
10900.0, 0.3388737
10910.0, 0.3395512
10920.0, 0.3195327
10930.0, 0.298959
10940.0, 0.3305738
10950.0, 0.3643548
10960.0, 0.3864573
10970.0, 0.3830644
10980.0, 0.3790341
10990.0, 0.3741402
11000.0, 0.3756995
11010.0, 0.3560988
11020.0, 0.3558446
11030.0, 0.3395664
11040.0, 0.3602681
11050.0, 0.3427631
11060.0, 0.3274406
11070.0, 0.3323016
11080.0, 0.3325729
11090.0, 0.3307388
11100.0, 0.3418785
11110.0, 0.3808161
11120.0, 0.3874435
11130.0, 0.3616928
11140.0, 0.362247
11150.0, 0.3821307
11160.0, 0.3643396
11170.0, 0.3413866
11180.0, 0.3268517
11190.0, 0.3270305
11200.0, 0.3645907
11210.0, 0.378214
11220.0, 0.3821486
11230.0, 0.392528
11240.0, 0.3688612
11250.0, 0.3564457
11260.0, 0.4038942
11270.0, 0.3902683
11280.0, 0.3730999
11290.0, 0.4047574
11300.0, 0.373921
11310.0, 0.3626227
11320.0, 0.3388323
11330.0, 0.3735074
11340.0, 0.377671
11350.0, 0.3425592
11360.0, 0.3664453
11370.0, 0.3735378
11380.0, 0.3597939
11390.0, 0.3893802
11400.0, 0.3799993
11410.0, 0.3913295
11420.0, 0.3849742
11430.0, 0.382867
11440.0, 0.37455
11450.0, 0.3992676
11460.0, 0.4033801
11470.0, 0.3893326
11480.0, 0.36525
11490.0, 0.3730266
11500.0, 0.3715362
11510.0, 0.3748261
11520.0, 0.3553793
11530.0, 0.3534982
11540.0, 0.349505
11550.0, 0.3241685
11560.0, 0.3517401
11570.0, 0.3577631
11580.0, 0.3506294
11590.0, 0.3516084
11600.0, 0.3268382
11610.0, 0.3419046
11620.0, 0.3639252
11630.0, 0.3523451
11640.0, 0.3862854
11650.0, 0.3789855
11660.0, 0.3788973
11670.0, 0.3443956
11680.0, 0.3062775
11690.0, 0.3189673
11700.0, 0.330437
11710.0, 0.326097
11720.0, 0.3094925
11730.0, 0.340693
11740.0, 0.340875
11750.0, 0.3203927
